experiment,well,exclude,sample,assay,role,cq,copies,thresholdSetting,thresholdCq,baselineSetting,baselineStart,baselineEnd
quantification-standards-niloticus_Jun17_2021_025918PM,E7,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,E8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,F1,,niloticus-synthetic,niloticus,Standard,18.1180273819616,1000000,Auto,0.249,Auto,3,14
quantification-standards-niloticus_Jun17_2021_025918PM,F2,,niloticus-synthetic,niloticus,Standard,20.8014033723858,100000,Auto,0.249,Auto,3,17
quantification-standards-niloticus_Jun17_2021_025918PM,F3,,niloticus-synthetic,niloticus,Standard,24.0959611944496,10000,Auto,0.249,Auto,3,21
quantification-standards-niloticus_Jun17_2021_025918PM,F4,,niloticus-synthetic,niloticus,Standard,27.6785778151846,1000,Auto,0.249,Auto,3,25
quantification-standards-niloticus_Jun17_2021_025918PM,F5,,niloticus-synthetic,niloticus,Standard,31.0423226215164,100,Auto,0.249,Auto,3,29
quantification-standards-niloticus_Jun17_2021_025918PM,F6,,niloticus-synthetic,niloticus,Standard,35.1052690326424,10,Auto,0.249,Auto,3,34
quantification-standards-niloticus_Jun17_2021_025918PM,F7,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,F8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A1,,13.06.19/11 (1:5),niloticus,Unknown,30.8585058058326,127.611263040187,Auto,0.249,Auto,3,26
samples-template-niloticus_Aug02_2021_050430PM,A2,Excluded,13.06.19/13 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A3,Excluded,13.06.19/15 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A4,Excluded,13.06.19/18 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A5,Excluded,13.06.19/20 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A6,Excluded,13.06.19/22 (1:5),niloticus,Unknown,,,Auto,,Auto,,
